system:index,area_km2,transition,.geo
78,0.02321143389892578,3300,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,1.5953877139892578,3303,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,3.3068508975657744,3306,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,3.3631711231526693,3311,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,0.014283817687988282,3312,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,1.1320276451416016,3315,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,0.008035449401855469,3324,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,0.06964157415771484,3325,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,83.59716475024821,3333,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,0.03392775323486328,3339,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,0.040176519958496096,3341,"{""type"":""MultiPoint"",""coordinates"":[]}"
